Date,Price,Open,High,Low,Change %
20-Sep-21,"43,810.80","47,233.10","47,321.30","43,281.60",-7.25%
19-Sep-21,"47,233.10","48,293.70","48,352.20","46,800.00",-2.20%
18-Sep-21,"48,293.70","47,274.40","48,775.00","47,064.50",2.16%
17-Sep-21,"47,274.40","47,753.80","48,139.20","46,793.80",-1.00%
16-Sep-21,"47,753.80","48,124.60","48,467.10","47,029.30",-0.77%
15-Sep-21,"48,124.60","47,077.90","48,411.80","46,729.50",2.22%
14-Sep-21,"47,077.90","44,932.60","47,210.40","44,678.60",4.77%
13-Sep-21,"44,932.60","46,040.90","46,829.80","43,413.10",-2.43%
12-Sep-21,"46,053.60","45,153.20","46,400.00","44,742.00",1.99%
11-Sep-21,"45,153.20","44,850.70","45,962.00","44,736.70",0.67%
10-Sep-21,"44,850.70","46,359.80","47,035.40","44,201.00",-3.26%
09-Sep-21,"46,359.80","46,059.30","47,397.20","45,526.90",0.65%
08-Sep-21,"46,059.30","46,846.50","47,316.60","44,459.50",-1.67%
07-Sep-21,"46,839.30","52,656.20","52,881.60","43,002.90",-11.05%
06-Sep-21,"52,656.20","51,764.70","52,741.50","50,990.80",1.72%
05-Sep-21,"51,764.70","49,909.60","51,879.90","49,485.00",3.72%
04-Sep-21,"49,909.60","49,997.00","50,520.70","49,401.80",-0.17%
03-Sep-21,"49,997.00","49,253.30","50,985.00","48,338.90",1.51%
02-Sep-21,"49,253.30","48,835.50","50,366.80","48,597.10",0.86%
01-Sep-21,"48,835.50","47,124.10","49,126.30","46,533.40",3.63%
31-Aug-21,"47,124.10","46,966.90","48,180.80","46,709.20",0.33%
30-Aug-21,"46,966.90","48,771.60","48,883.50","46,875.00",-3.70%
29-Aug-21,"48,771.60","48,882.00","49,589.50","47,802.60",-0.23%
28-Aug-21,"48,882.00","49,039.50","49,263.20","48,375.00",-0.32%
27-Aug-21,"49,039.50","46,857.40","49,116.40","46,375.20",4.66%
26-Aug-21,"46,857.40","48,979.10","49,330.00","46,297.20",-4.33%
25-Aug-21,"48,979.10","47,688.20","49,221.10","47,149.60",2.71%
24-Aug-21,"47,688.20","49,518.10","49,838.00","47,630.00",-3.73%
23-Aug-21,"49,534.50","49,280.80","50,460.40","49,055.40",0.51%
22-Aug-21,"49,280.80","48,830.60","49,466.10","48,056.60",0.92%
21-Aug-21,"48,830.60","49,307.90","49,745.00","48,267.80",-0.97%
20-Aug-21,"49,307.90","46,742.30","49,345.00","46,655.30",5.49%
19-Aug-21,"46,742.30","44,706.20","46,986.10","43,953.10",4.55%
18-Aug-21,"44,706.20","44,684.00","45,983.20","44,235.80",0.05%
17-Aug-21,"44,684.00","45,919.20","47,119.40","44,430.20",-2.69%
16-Aug-21,"45,917.30","46,972.50","48,000.00","45,675.00",-2.25%
15-Aug-21,"46,972.50","47,064.00","47,325.80","45,505.10",-0.19%
14-Aug-21,"47,064.00","47,821.60","48,058.90","46,038.80",-1.54%
13-Aug-21,"47,799.00","44,400.40","47,859.70","44,250.00",7.65%
12-Aug-21,"44,400.40","45,544.40","46,209.30","43,801.60",-2.53%
11-Aug-21,"45,555.00","45,581.60","46,722.00","45,360.70",-0.06%
10-Aug-21,"45,581.60","46,286.60","46,674.70","44,632.10",-1.52%
09-Aug-21,"46,286.60","43,820.40","46,439.40","42,829.30",5.63%
08-Aug-21,"43,820.40","44,574.30","45,279.40","43,278.80",-1.69%
07-Aug-21,"44,574.30","42,800.60","44,685.40","42,465.80",4.14%
06-Aug-21,"42,800.60","40,853.10","43,320.60","39,890.20",4.77%
05-Aug-21,"40,853.10","39,743.20","41,349.60","37,350.00",2.79%
04-Aug-21,"39,745.00","38,189.20","39,957.00","37,525.00",4.07%
03-Aug-21,"38,189.20","39,143.80","39,753.30","37,675.00",-2.44%
02-Aug-21,"39,143.80","39,857.00","40,431.00","38,702.10",-1.79%
01-Aug-21,"39,857.00","41,380.10","42,550.00","39,451.00",-3.68%
31-Jul-21,"41,380.10","42,191.80","42,386.20","41,052.10",-1.92%
30-Jul-21,"42,191.80","40,012.00","42,287.30","38,325.90",5.45%
29-Jul-21,"40,012.00","40,019.90","40,600.00","39,287.70",-0.02%
28-Jul-21,"40,019.90","39,489.80","40,830.70","38,800.00",1.34%
27-Jul-21,"39,489.80","37,264.20","39,489.80","36,402.00",5.97%
26-Jul-21,"37,264.20","35,374.20","40,559.50","35,209.80",5.34%
25-Jul-21,"35,374.20","34,718.30","35,375.20","33,871.70",4.65%
24-Jul-21,"33,802.00","33,589.10","33,999.80","33,400.30",0.83%
23-Jul-21,"33,523.30","32,292.80","33,582.60","31,999.60",3.81%
22-Jul-21,"32,292.80","32,131.00","32,575.10","31,725.00",0.54%
21-Jul-21,"32,119.50","29,789.70","32,749.40","29,469.60",7.82%
20-Jul-21,"29,789.70","30,825.20","31,036.20","29,238.50",-3.36%
